IPK,Semester,Jurusan,Pernah_Mengulang,Pendapatan_Orang_Tua,Pekerjaan_Orang_Tua,Jumlah_Tanggungan,Status_Tempat_Tinggal,Asal_Daerah,Aktif_Organisasi,Jumlah_Kegiatan_Relawan,Pengalaman_Magang,Skor_Motivasi_Tertulis,Surat_Rekomendasi,Pernah_Mendapat_Beasiswa,Skor_Keaktifan_Kampus,Rekam_Ketidakhadiran,Pernah_Melawan_Hukum,Jenis_Kelamin,Skor_Literasi_Finansial,Status_Kelayakan,Jumlah_Beasiswa_Per_Semester
3.4,2,Teknik Informatika,Tidak,4608603,Pedagang,2,Menumpang,3T,Tidak,4,Ya,77,Ada,Ya,55,6,Tidak,Laki-laki,71,Layak,3667971
3.14,7,Kedokteran,Tidak,5167265,Tidak Bekerja,1,Milik Sendiri,Perkotaan,Ya,1,Ya,98,Tidak,Ya,55,12,Tidak,Perempuan,77,Tidak Layak,0
3.83,5,Teknik Informatika,Tidak,9496414,Petani,4,Milik Sendiri,Pedesaan,Tidak,4,Tidak,73,Ada,Ya,52,7,Tidak,Laki-laki,29,Tidak Layak,0
3.51,2,Ekonomi,Tidak,6620868,Pedagang,3,Kontrak,Pedesaan,Ya,5,Tidak,88,Ada,Ya,60,14,Tidak,Laki-laki,87,Layak,4720280
3.01,1,Kedokteran,Tidak,5792423,Karyawan Swasta,3,Milik Sendiri,Pedesaan,Tidak,5,Ya,91,Tidak,Tidak,91,14,Tidak,Laki-laki,31,Tidak Layak,0
3.01,5,Ekonomi,Tidak,7200828,Pegawai Negeri,2,Milik Sendiri,Pedesaan,Ya,0,Tidak,59,Ada,Tidak,88,2,Tidak,Perempuan,67,Tidak Layak,0
3.53,5,Teknik Informatika,Tidak,2421859,Wirausaha,5,Kontrak,Perkotaan,Ya,2,Tidak,79,Ada,Tidak,82,5,Tidak,Laki-laki,80,Layak,4503536
2.59,4,Hukum,Tidak,3210343,Buruh,5,Milik Sendiri,Pedesaan,Ya,0,Tidak,69,Ada,Ya,65,18,Tidak,Laki-laki,93,Tidak Layak,0
2.92,8,Manajemen,Tidak,9437326,Tidak Bekerja,2,Milik Sendiri,Perkotaan,Tidak,1,Ya,88,Tidak,Ya,84,6,Tidak,Perempuan,85,Tidak Layak,0
2.34,6,Pertanian,Tidak,8074680,Petani,2,Milik Sendiri,3T,Ya,4,Ya,64,Ada,Ya,95,20,Tidak,Laki-laki,4,Tidak Layak,0
3.25,6,Manajemen,Tidak,5172073,Wirausaha,4,Milik Sendiri,Pedesaan,Tidak,4,Tidak,65,Tidak,Tidak,62,3,Tidak,Perempuan,45,Tidak Layak,0
2.99,7,Ekonomi,Tidak,1408841,Wirausaha,6,Menumpang,3T,Ya,2,Tidak,56,Ada,Ya,62,17,Tidak,Perempuan,23,Tidak Layak,0
2.96,5,Pertanian,Tidak,1764748,Karyawan Swasta,5,Milik Sendiri,3T,Tidak,0,Tidak,98,Ada,Ya,76,15,Tidak,Perempuan,7,Tidak Layak,0
3.58,3,Ekonomi,Ya,7050190,Pegawai Negeri,4,Kontrak,Pedesaan,Tidak,4,Tidak,81,Ada,Ya,68,6,Tidak,Laki-laki,95,Layak,4630707
3.19,1,Teknik Informatika,Tidak,8936429,Tidak Bekerja,5,Milik Sendiri,3T,Ya,1,Ya,54,Ada,Tidak,57,18,Tidak,Laki-laki,79,Tidak Layak,0
2.78,2,Ekonomi,Tidak,9982934,Buruh,3,Kontrak,Pedesaan,Tidak,1,Ya,58,Tidak,Tidak,70,2,Ya,Laki-laki,9,Tidak Layak,0
2.69,4,Sastra,Ya,6355396,Petani,2,Kontrak,Pedesaan,Ya,4,Tidak,89,Ada,Tidak,92,3,Tidak,Laki-laki,33,Tidak Layak,0
3.64,2,Manajemen,Tidak,3107983,Pegawai Negeri,3,Menumpang,Pedesaan,Ya,5,Tidak,66,Tidak,Tidak,53,2,Tidak,Perempuan,5,Tidak Layak,0
3.5,1,Pendidikan,Tidak,4894880,Pedagang,6,Kontrak,Pedesaan,Ya,0,Ya,94,Ada,Ya,73,18,Tidak,Perempuan,16,Layak,2350885
3.27,5,Pendidikan,Tidak,1169324,Pegawai Negeri,2,Menumpang,Pedesaan,Ya,4,Tidak,76,Ada,Ya,60,5,Tidak,Laki-laki,22,Layak,4786573
3.15,7,Kedokteran,Tidak,2313543,Karyawan Swasta,1,Kontrak,Pedesaan,Tidak,3,Ya,100,Ada,Ya,51,6,Tidak,Perempuan,8,Layak,4341470
3.08,6,Ekonomi,Tidak,9496207,Pegawai Negeri,1,Milik Sendiri,Perkotaan,Ya,4,Tidak,66,Ada,Ya,88,13,Tidak,Perempuan,55,Tidak Layak,0
3.34,2,Ekonomi,Tidak,3688992,Pegawai Negeri,1,Menumpang,Pedesaan,Ya,4,Tidak,97,Ada,Tidak,77,2,Tidak,Perempuan,79,Layak,4633315
2.49,2,Sastra,Tidak,7351696,Pegawai Negeri,4,Menumpang,Pedesaan,Ya,3,Tidak,74,Ada,Tidak,75,17,Tidak,Perempuan,36,Tidak Layak,0
3.43,4,Ekonomi,Tidak,5906444,Karyawan Swasta,4,Kontrak,Perkotaan,Ya,5,Ya,55,Tidak,Tidak,55,7,Tidak,Laki-laki,25,Tidak Layak,0
3.56,3,Teknik Informatika,Ya,8471465,Buruh,1,Kontrak,Pedesaan,Tidak,1,Tidak,74,Tidak,Tidak,65,4,Tidak,Laki-laki,96,Tidak Layak,0
2.6,2,Ekonomi,Tidak,9189889,Karyawan Swasta,1,Menumpang,Pedesaan,Tidak,3,Ya,79,Tidak,Tidak,89,16,Tidak,Perempuan,20,Tidak Layak,0
3.64,8,Pertanian,Tidak,4647994,Tidak Bekerja,6,Kontrak,Perkotaan,Ya,5,Ya,78,Ada,Tidak,65,8,Tidak,Laki-laki,17,Layak,3265259
3.67,4,Ekonomi,Tidak,4089533,Petani,4,Kontrak,Pedesaan,Ya,0,Ya,76,Tidak,Ya,98,18,Tidak,Laki-laki,45,Layak,4504944
2.84,7,Ekonomi,Tidak,9662579,Tidak Bekerja,5,Milik Sendiri,Pedesaan,Ya,3,Ya,71,Tidak,Ya,79,4,Tidak,Laki-laki,50,Tidak Layak,0
3.59,1,Manajemen,Tidak,2776659,Tidak Bekerja,4,Milik Sendiri,3T,Ya,1,Tidak,71,Tidak,Tidak,98,13,Tidak,Laki-laki,60,Layak,2162598
3.52,1,Pendidikan,Tidak,1651225,Tidak Bekerja,6,Milik Sendiri,Perkotaan,Tidak,1,Tidak,89,Ada,Ya,58,15,Tidak,Laki-laki,59,Layak,7867537
3.23,5,Pendidikan,Ya,2421542,Tidak Bekerja,2,Kontrak,3T,Ya,2,Tidak,74,Tidak,Ya,54,18,Tidak,Laki-laki,13,Tidak Layak,0
3.08,5,Manajemen,Tidak,9994772,Tidak Bekerja,1,Kontrak,Pedesaan,Tidak,0,Tidak,71,Ada,Tidak,81,3,Tidak,Perempuan,81,Tidak Layak,0
3.79,8,Hukum,Tidak,9253457,Wirausaha,3,Menumpang,Perkotaan,Ya,3,Tidak,96,Tidak,Tidak,65,2,Tidak,Perempuan,31,Tidak Layak,0
2.99,8,Ekonomi,Tidak,8793086,Tidak Bekerja,3,Milik Sendiri,Pedesaan,Ya,2,Ya,88,Tidak,Ya,83,6,Tidak,Perempuan,62,Tidak Layak,0
2.88,4,Pertanian,Tidak,8734615,Karyawan Swasta,1,Milik Sendiri,Pedesaan,Ya,1,Ya,87,Tidak,Tidak,85,16,Tidak,Perempuan,45,Tidak Layak,0
3,8,Sastra,Tidak,4367786,Petani,6,Milik Sendiri,Pedesaan,Tidak,5,Ya,63,Tidak,Tidak,96,18,Tidak,Perempuan,12,Tidak Layak,0
3.24,4,Sastra,Tidak,3510529,Pegawai Negeri,1,Menumpang,Pedesaan,Ya,0,Tidak,94,Ada,Tidak,56,0,Tidak,Perempuan,61,Layak,5694920
3.59,6,Hukum,Tidak,4735884,Tidak Bekerja,4,Milik Sendiri,Perkotaan,Ya,0,Tidak,93,Ada,Ya,59,18,Tidak,Laki-laki,31,Layak,2993643
3.04,7,Kedokteran,Tidak,6881684,Karyawan Swasta,4,Kontrak,Perkotaan,Tidak,2,Tidak,53,Ada,Ya,90,6,Tidak,Laki-laki,20,Tidak Layak,0
2.61,4,Hukum,Tidak,3126181,Petani,4,Kontrak,Perkotaan,Ya,0,Ya,95,Tidak,Tidak,54,7,Tidak,Laki-laki,54,Tidak Layak,0
3.04,2,Kedokteran,Tidak,4956573,Tidak Bekerja,2,Milik Sendiri,3T,Tidak,4,Tidak,86,Tidak,Tidak,57,14,Tidak,Perempuan,34,Tidak Layak,0
3.08,8,Pertanian,Ya,1168752,Karyawan Swasta,6,Kontrak,Perkotaan,Ya,1,Tidak,86,Ada,Tidak,86,1,Tidak,Laki-laki,60,Layak,6353384
3.95,8,Sastra,Ya,7812936,Wirausaha,4,Milik Sendiri,Pedesaan,Ya,2,Tidak,60,Tidak,Tidak,94,15,Tidak,Perempuan,97,Tidak Layak,0
3.27,1,Pertanian,Ya,4734550,Pegawai Negeri,1,Kontrak,Perkotaan,Tidak,0,Tidak,84,Tidak,Tidak,53,6,Tidak,Perempuan,80,Tidak Layak,0
2.43,8,Teknik Informatika,Tidak,9714376,Pedagang,3,Kontrak,Perkotaan,Ya,0,Tidak,88,Ada,Ya,69,17,Ya,Perempuan,11,Tidak Layak,0
3.19,4,Manajemen,Tidak,2470754,Wirausaha,2,Kontrak,Perkotaan,Ya,5,Ya,80,Tidak,Ya,79,17,Tidak,Laki-laki,76,Layak,6263433
3.22,3,Manajemen,Tidak,7461578,Pegawai Negeri,5,Kontrak,Perkotaan,Ya,2,Tidak,87,Tidak,Ya,78,17,Tidak,Perempuan,70,Tidak Layak,0
4,7,Pertanian,Tidak,3665061,Wirausaha,2,Menumpang,Pedesaan,Tidak,3,Ya,97,Tidak,Tidak,74,20,Tidak,Perempuan,4,Tidak Layak,0
3.12,3,Pendidikan,Tidak,7887112,Petani,5,Kontrak,3T,Ya,5,Tidak,54,Tidak,Tidak,71,19,Tidak,Laki-laki,42,Tidak Layak,0
3.32,7,Pendidikan,Tidak,8686400,Tidak Bekerja,5,Milik Sendiri,Perkotaan,Ya,5,Tidak,64,Ada,Tidak,56,20,Tidak,Laki-laki,56,Tidak Layak,0
3.66,3,Sastra,Tidak,1271600,Pegawai Negeri,1,Kontrak,Pedesaan,Ya,1,Tidak,86,Ada,Ya,61,2,Tidak,Perempuan,79,Layak,7730548
3.5,4,Pertanian,Tidak,2901116,Pedagang,4,Menumpang,Pedesaan,Ya,0,Tidak,79,Tidak,Ya,54,14,Tidak,Perempuan,81,Layak,5559361
3.76,5,Pertanian,Tidak,3842306,Karyawan Swasta,4,Milik Sendiri,Pedesaan,Ya,4,Ya,94,Tidak,Ya,92,12,Tidak,Laki-laki,77,Layak,6166850
3.76,5,Kedokteran,Tidak,6410964,Pedagang,6,Milik Sendiri,Perkotaan,Tidak,5,Tidak,93,Ada,Ya,90,20,Ya,Perempuan,4,Tidak Layak,0
3.88,6,Hukum,Ya,5451131,Pegawai Negeri,6,Kontrak,3T,Ya,4,Tidak,73,Tidak,Ya,66,15,Tidak,Perempuan,95,Layak,4841349
3.55,2,Pertanian,Tidak,2861510,Tidak Bekerja,2,Menumpang,Perkotaan,Tidak,4,Ya,100,Tidak,Ya,66,17,Tidak,Perempuan,86,Layak,7640003
2.78,5,Ekonomi,Tidak,6732293,Petani,6,Milik Sendiri,Pedesaan,Tidak,4,Ya,89,Ada,Ya,90,14,Tidak,Perempuan,83,Tidak Layak,0
3.39,7,Manajemen,Ya,1124315,Pegawai Negeri,4,Milik Sendiri,3T,Tidak,1,Ya,73,Tidak,Ya,76,20,Tidak,Perempuan,78,Tidak Layak,0
2.89,7,Sastra,Ya,6716461,Pedagang,4,Kontrak,Perkotaan,Tidak,0,Tidak,73,Tidak,Ya,75,8,Tidak,Laki-laki,58,Tidak Layak,0
3.07,2,Kedokteran,Tidak,858318,Petani,3,Milik Sendiri,Perkotaan,Tidak,1,Ya,98,Ada,Ya,64,10,Tidak,Laki-laki,35,Layak,3213730
2.56,3,Sastra,Tidak,2344258,Wirausaha,1,Milik Sendiri,3T,Tidak,1,Tidak,51,Ada,Tidak,53,4,Tidak,Laki-laki,95,Tidak Layak,0
3.27,2,Pertanian,Tidak,6574006,Buruh,5,Milik Sendiri,Pedesaan,Ya,4,Ya,100,Tidak,Tidak,91,0,Tidak,Perempuan,51,Tidak Layak,0
3.72,7,Manajemen,Tidak,7941741,Petani,1,Kontrak,Perkotaan,Ya,2,Tidak,87,Tidak,Tidak,88,16,Tidak,Perempuan,12,Layak,7886952
2.85,2,Kedokteran,Tidak,4333486,Karyawan Swasta,3,Kontrak,Pedesaan,Tidak,2,Tidak,92,Tidak,Tidak,59,15,Tidak,Laki-laki,11,Tidak Layak,0
3.29,7,Manajemen,Tidak,6751976,Tidak Bekerja,2,Menumpang,3T,Tidak,4,Ya,57,Tidak,Tidak,92,13,Tidak,Laki-laki,36,Tidak Layak,0
3.54,5,Pendidikan,Ya,9012969,Pedagang,2,Menumpang,Pedesaan,Tidak,2,Tidak,73,Ada,Tidak,86,7,Tidak,Laki-laki,77,Tidak Layak,0
3.27,5,Teknik Informatika,Ya,5683902,Pegawai Negeri,3,Milik Sendiri,3T,Ya,5,Tidak,59,Ada,Ya,97,16,Tidak,Perempuan,58,Layak,4859642
2.71,3,Pendidikan,Tidak,5942241,Tidak Bekerja,5,Menumpang,3T,Ya,1,Tidak,53,Ada,Tidak,78,13,Tidak,Perempuan,53,Tidak Layak,0
3.66,5,Kedokteran,Tidak,2409540,Pegawai Negeri,4,Milik Sendiri,Pedesaan,Tidak,3,Tidak,69,Ada,Ya,75,19,Tidak,Laki-laki,38,Layak,3771959
2.87,3,Sastra,Tidak,2513003,Petani,4,Menumpang,Pedesaan,Ya,4,Tidak,82,Tidak,Ya,75,1,Tidak,Perempuan,9,Tidak Layak,0
2.65,6,Ekonomi,Tidak,7507741,Pegawai Negeri,1,Kontrak,3T,Ya,4,Tidak,94,Tidak,Ya,77,3,Tidak,Perempuan,67,Tidak Layak,0
2.89,2,Ekonomi,Tidak,6196087,Pedagang,3,Milik Sendiri,3T,Tidak,4,Tidak,99,Tidak,Tidak,96,20,Tidak,Laki-laki,13,Tidak Layak,0
3.68,3,Sastra,Ya,3064729,Tidak Bekerja,6,Milik Sendiri,3T,Tidak,3,Tidak,86,Tidak,Tidak,90,10,Tidak,Laki-laki,60,Tidak Layak,0
3.42,8,Sastra,Tidak,1442411,Pegawai Negeri,5,Milik Sendiri,Pedesaan,Ya,0,Ya,68,Ada,Ya,89,19,Tidak,Perempuan,74,Layak,6649942
2.81,1,Pertanian,Tidak,3658134,Pegawai Negeri,5,Kontrak,Pedesaan,Tidak,3,Ya,71,Ada,Ya,52,7,Tidak,Perempuan,67,Tidak Layak,0
3.59,3,Pendidikan,Tidak,5246166,Karyawan Swasta,4,Kontrak,Perkotaan,Ya,5,Tidak,54,Tidak,Ya,85,12,Tidak,Laki-laki,42,Tidak Layak,0
3.11,2,Hukum,Tidak,5704824,Wirausaha,6,Menumpang,Pedesaan,Ya,0,Ya,74,Tidak,Ya,92,16,Tidak,Perempuan,65,Tidak Layak,0
3.49,6,Teknik Informatika,Tidak,3524309,Pedagang,3,Kontrak,3T,Tidak,1,Ya,100,Ada,Ya,92,10,Tidak,Laki-laki,76,Layak,5160155
2.86,3,Hukum,Ya,3277286,Wirausaha,4,Milik Sendiri,Pedesaan,Tidak,1,Tidak,89,Tidak,Tidak,64,17,Tidak,Perempuan,24,Tidak Layak,0
2.59,6,Pertanian,Tidak,5227345,Tidak Bekerja,4,Menumpang,Pedesaan,Tidak,1,Tidak,58,Tidak,Ya,91,15,Tidak,Laki-laki,91,Tidak Layak,0
3.48,2,Sastra,Ya,3189594,Pegawai Negeri,4,Menumpang,3T,Ya,1,Tidak,72,Ada,Tidak,53,12,Tidak,Laki-laki,49,Tidak Layak,0
3.24,2,Pendidikan,Tidak,5846644,Petani,6,Menumpang,Pedesaan,Ya,0,Ya,80,Ada,Tidak,78,19,Ya,Laki-laki,2,Tidak Layak,0
3.62,5,Kedokteran,Tidak,9707407,Wirausaha,5,Menumpang,Pedesaan,Tidak,1,Ya,53,Ada,Tidak,90,19,Tidak,Laki-laki,63,Tidak Layak,0
3.22,1,Kedokteran,Tidak,5386733,Karyawan Swasta,1,Menumpang,Pedesaan,Ya,1,Tidak,55,Tidak,Ya,83,17,Tidak,Laki-laki,49,Tidak Layak,0
3.56,8,Teknik Informatika,Tidak,6762974,Pegawai Negeri,6,Milik Sendiri,Pedesaan,Ya,1,Tidak,90,Ada,Tidak,58,1,Tidak,Perempuan,82,Layak,3468754
2.96,8,Pertanian,Tidak,2762450,Petani,6,Kontrak,3T,Ya,1,Tidak,70,Tidak,Tidak,84,15,Tidak,Laki-laki,36,Tidak Layak,0
3.58,6,Teknik Informatika,Tidak,6068772,Pegawai Negeri,1,Kontrak,Pedesaan,Ya,3,Tidak,74,Tidak,Ya,81,15,Tidak,Perempuan,10,Tidak Layak,0
3.46,7,Manajemen,Tidak,3527557,Buruh,3,Kontrak,3T,Ya,2,Ya,88,Tidak,Ya,94,14,Tidak,Laki-laki,93,Layak,4957481
3.01,7,Sastra,Tidak,1462308,Petani,6,Menumpang,Pedesaan,Ya,5,Tidak,51,Ada,Tidak,52,4,Tidak,Perempuan,46,Layak,5211615
3.23,1,Hukum,Tidak,6723751,Pegawai Negeri,4,Milik Sendiri,Pedesaan,Ya,3,Ya,67,Ada,Ya,51,5,Tidak,Perempuan,71,Tidak Layak,0
3.03,2,Sastra,Tidak,7987220,Pedagang,5,Kontrak,Perkotaan,Tidak,1,Ya,54,Tidak,Ya,95,14,Tidak,Perempuan,85,Tidak Layak,0
3.23,6,Manajemen,Tidak,5371470,Pegawai Negeri,2,Menumpang,Perkotaan,Tidak,1,Tidak,82,Ada,Ya,62,4,Tidak,Perempuan,3,Tidak Layak,0
3.23,6,Pendidikan,Tidak,9755099,Pedagang,5,Milik Sendiri,3T,Ya,5,Tidak,83,Tidak,Tidak,86,2,Tidak,Perempuan,82,Tidak Layak,0
2.77,2,Pertanian,Tidak,9179860,Pegawai Negeri,2,Menumpang,Perkotaan,Ya,1,Tidak,53,Ada,Ya,69,5,Tidak,Laki-laki,44,Tidak Layak,0
3.22,5,Manajemen,Tidak,9741585,Pegawai Negeri,2,Menumpang,Pedesaan,Ya,4,Tidak,87,Ada,Ya,92,19,Tidak,Perempuan,72,Layak,2345562
2.94,1,Manajemen,Ya,4940189,Wirausaha,2,Menumpang,Pedesaan,Tidak,3,Tidak,84,Tidak,Tidak,80,7,Tidak,Perempuan,38,Tidak Layak,0
3.62,8,Manajemen,Tidak,3152149,Karyawan Swasta,4,Kontrak,Pedesaan,Ya,1,Ya,95,Tidak,Tidak,75,4,Tidak,Laki-laki,40,Tidak Layak,0
2.95,4,Pertanian,Ya,8042969,Pedagang,2,Milik Sendiri,3T,Tidak,4,Tidak,60,Tidak,Tidak,62,5,Tidak,Perempuan,63,Tidak Layak,0
3.4,5,Pertanian,Ya,7097509,Buruh,4,Milik Sendiri,Pedesaan,Ya,0,Ya,88,Tidak,Tidak,84,0,Tidak,Perempuan,17,Tidak Layak,0
3.55,5,Pendidikan,Tidak,6639410,Petani,4,Milik Sendiri,Pedesaan,Ya,4,Ya,74,Tidak,Tidak,89,19,Tidak,Laki-laki,50,Tidak Layak,0
3.33,6,Pendidikan,Tidak,6633857,Tidak Bekerja,2,Milik Sendiri,Perkotaan,Ya,0,Ya,58,Tidak,Tidak,83,14,Tidak,Laki-laki,41,Tidak Layak,0
2.56,6,Hukum,Tidak,5520319,Buruh,3,Menumpang,Perkotaan,Ya,5,Tidak,80,Ada,Tidak,71,3,Tidak,Perempuan,92,Layak,7771728
2.59,1,Pertanian,Tidak,4317541,Wirausaha,1,Menumpang,Pedesaan,Ya,5,Tidak,74,Ada,Ya,52,18,Tidak,Laki-laki,24,Tidak Layak,0
3.01,1,Pertanian,Tidak,3040594,Karyawan Swasta,6,Milik Sendiri,Pedesaan,Tidak,3,Tidak,97,Ada,Ya,83,6,Tidak,Perempuan,67,Tidak Layak,0
3.11,7,Pendidikan,Tidak,8211874,Buruh,3,Menumpang,Pedesaan,Tidak,5,Tidak,94,Tidak,Tidak,62,7,Tidak,Perempuan,28,Tidak Layak,0
3.95,5,Sastra,Tidak,8704110,Pegawai Negeri,4,Kontrak,Pedesaan,Tidak,5,Ya,57,Tidak,Tidak,72,4,Tidak,Perempuan,91,Tidak Layak,0
3.1,2,Pendidikan,Tidak,4802415,Wirausaha,4,Milik Sendiri,Pedesaan,Ya,4,Tidak,58,Ada,Ya,65,1,Tidak,Laki-laki,81,Layak,3953174
2.7,1,Manajemen,Tidak,8425622,Petani,6,Milik Sendiri,3T,Ya,1,Tidak,80,Tidak,Ya,98,9,Tidak,Laki-laki,98,Tidak Layak,0
3.78,2,Kedokteran,Tidak,1125760,Pedagang,4,Milik Sendiri,Perkotaan,Ya,3,Tidak,61,Tidak,Ya,50,9,Tidak,Laki-laki,42,Layak,4387076
2.63,8,Pertanian,Tidak,2751501,Tidak Bekerja,5,Kontrak,Pedesaan,Tidak,2,Ya,79,Tidak,Ya,50,10,Tidak,Laki-laki,22,Tidak Layak,0
3.28,7,Ekonomi,Tidak,1955218,Karyawan Swasta,6,Milik Sendiri,3T,Ya,2,Tidak,50,Tidak,Tidak,65,14,Tidak,Perempuan,38,Tidak Layak,0
2.96,1,Sastra,Tidak,4464499,Petani,6,Milik Sendiri,Pedesaan,Ya,5,Tidak,95,Tidak,Ya,90,9,Tidak,Laki-laki,28,Tidak Layak,0
3.83,3,Pertanian,Ya,6768384,Karyawan Swasta,6,Menumpang,Perkotaan,Tidak,5,Tidak,98,Ada,Ya,83,14,Tidak,Perempuan,9,Tidak Layak,0
2.7,2,Teknik Informatika,Tidak,8980665,Pedagang,5,Menumpang,3T,Ya,4,Tidak,93,Ada,Tidak,55,16,Tidak,Laki-laki,58,Tidak Layak,0
3.31,3,Ekonomi,Tidak,1468662,Buruh,4,Menumpang,Perkotaan,Tidak,3,Ya,50,Ada,Ya,52,13,Tidak,Laki-laki,69,Tidak Layak,0
2.95,1,Manajemen,Tidak,8420040,Petani,3,Kontrak,3T,Ya,5,Tidak,91,Tidak,Tidak,74,14,Tidak,Perempuan,48,Tidak Layak,0
2.96,2,Hukum,Tidak,6334610,Petani,2,Menumpang,Pedesaan,Ya,1,Tidak,98,Ada,Tidak,79,17,Tidak,Perempuan,29,Tidak Layak,0
3.54,4,Pertanian,Tidak,5124635,Pedagang,6,Milik Sendiri,3T,Tidak,4,Tidak,51,Ada,Ya,54,3,Tidak,Perempuan,76,Layak,7637342
2.95,1,Kedokteran,Tidak,7248892,Karyawan Swasta,2,Menumpang,Pedesaan,Tidak,0,Ya,68,Ada,Tidak,86,19,Tidak,Perempuan,30,Tidak Layak,0
3.55,5,Hukum,Tidak,9245141,Pedagang,4,Kontrak,Pedesaan,Ya,4,Tidak,61,Tidak,Tidak,53,11,Tidak,Perempuan,100,Layak,6399515
3.71,6,Ekonomi,Tidak,5531294,Karyawan Swasta,2,Menumpang,Pedesaan,Tidak,2,Tidak,59,Tidak,Ya,85,13,Tidak,Laki-laki,49,Tidak Layak,0
2.96,4,Sastra,Tidak,1826581,Karyawan Swasta,3,Milik Sendiri,Pedesaan,Tidak,0,Ya,93,Ada,Ya,62,18,Tidak,Laki-laki,61,Tidak Layak,0
3.53,4,Pendidikan,Tidak,757256,Pedagang,2,Menumpang,3T,Tidak,3,Tidak,94,Ada,Tidak,65,17,Tidak,Perempuan,48,Layak,5911192
